Cell_ID,GAPDH,ACTB,IL8,IL6,CCL11,COL1A1,NANOG,SOX9,EEF2,SPP1,RUNX1,PDL1
exp1_bm_057_4,1565,1346,11,15,1,2500,10,11,909,12,91,5
exp1_bm_058_1,1400,1854,26,21,12,430,12,14,609,21,159,6
exp1_bm_058_2,2571,2555,26,44,13,2915,7,50,1479,57,68,13
exp1_bm_059_1,1904,585,30,50,6,1753,6,14,954,16,172,4
exp1_bm_059_2,1271,454,169,155,0,1975,112,24,1242,47,914,4
exp1_bm_060_1,1360,2083,11,19,7,1049,13,12,829,9,247,6
exp1_bm_061_1,1230,1696,11,16,2,956,6,16,753,17,83,5
exp1_bm_061_2,1320,1563,21,19,10,1303,7,29,848,82,152,5
exp1_bm_062_1,414,168,3,15,0,1408,0,28,466,25,28,5
exp1_bm_062_2,823,1466,15,12,2,898,3,27,692,30,47,4
exp1_bm_062_3,756,1282,13,16,4,1751,5,36,595,71,206,3
exp1_bm_062_4,904,1681,8,10,2,2108,6,46,936,24,144,6
exp1_bm_063_1,1253,1407,19,44,3,826,10,18,536,23,81,6
exp1_bm_064_1,688,817,6,13,2,1422,6,14,532,10,44,4
exp1_bm_064_2,1473,1024,8,16,3,1653,18,16,830,17,52,4
exp1_bm_064_3,1441,1788,10,23,2,1457,5,164,727,17,76,5
exp1_bm_065_1,1535,1798,12,27,2,896,6,12,674,17,38,6
exp1_bm_065_2,1218,346,16,31,2,2712,24,19,825,84,157,4
exp1_bm_066_1,1021,1489,7,9,2,1373,2,12,512,43,44,5
exp1_bm_066_2,1439,1900,19,41,2,488,6,145,761,29,29,7
exp1_bm_067_1,2250,2686,13,37,9,1956,10,32,933,61,323,10
exp1_bm_067_2,1950,2447,33,24,2,3867,8,41,1231,17,103,6
exp1_bm_068_1,1838,2862,34,29,4,3677,7,63,1488,22,151,7
exp1_bm_068_2,1122,1711,16,16,3,1208,4,20,696,9,132,5
exp1_bm_068_3,1569,2087,33,58,4,2349,7,30,1171,20,185,6
exp1_bm_068_4,1208,2789,10,33,15,1370,7,105,804,21,233,3
exp1_bm_069_1,2269,1735,9,10,2,275,3,56,812,56,92,13
exp1_bm_070_1,1103,1520,2,3,4,1015,1,6,578,8,117,9
exp1_bm_070_2,1663,1907,17,4,4,1482,1,12,852,17,57,7
exp1_bm_070_3,1543,485,21,6,4,2152,1,32,1001,17,30,0
exp1_bm_070_4,3115,3644,15,11,7,3068,1,73,1384,27,231,25
exp1_bm_070_5,1840,2249,3,9,2,1414,3,5,819,6,40,1
exp1_bm_070_6,1402,2234,3,8,2,1672,0,12,825,8,83,12
exp1_bm_070_7,1268,1616,16,17,3,1891,1,35,648,11,49,4
exp1_bm_072_1,1327,1724,5,4,4,379,3,6,438,7,34,14
exp1_bm_072_2,1240,1565,7,9,4,1530,2,49,846,12,48,0
exp1_bm_072_3,1460,1643,4,0,3,748,1,19,582,27,162,4
exp1_bm_072_4,1604,2506,0,5,7,2125,8,19,939,22,93,9
exp1_bm_073_1,1761,1272,9,5,4,618,2,59,774,15,32,7
exp1_bm_073_2,1274,2799,19,6,7,1248,6,22,766,27,50,5
exp1_bm_073_3,1640,2054,5,11,1,162,4,5,637,27,66,7
exp1_bm_074_1,1863,2079,1,10,0,1642,1,88,743,21,46,30
exp1_bm_074_2,1667,1932,2,3,3,131,1,6,593,17,57,7
exp1_bm_074_3,1388,1571,0,0,0,759,3,11,520,13,34,19
exp1_bm_074_4,1981,2622,6,6,0,971,3,42,667,22,54,3
exp1_bm_074_5,1469,1644,2,3,2,685,4,15,650,17,35,4
exp1_bm_074_6,1500,2190,2,8,1,284,2,11,681,31,301,6
exp1_bm_075_1,1305,1534,3,6,0,580,3,10,469,15,34,5
exp1_bm_075_2,2054,2317,8,11,0,1068,3,85,1153,31,133,7
exp1_bm_075_3,1966,1290,4,4,3,810,1,9,787,31,29,3
exp1_bm_075_4,1850,2335,23,14,8,1692,1,22,989,32,123,9
exp1_bm_076_1,2269,3271,9,6,9,506,0,58,823,137,176,23
exp1_bm_077_1,2080,2166,24,44,2,2219,3,33,998,101,52,6
exp1_bm_077_2,2124,3058,3,17,3,1538,2,27,977,33,84,10
exp1_bm_078_1,1502,789,0,54,1,2029,1,14,881,27,49,4
exp1_bm_078_2,1958,2318,6,27,3,1708,6,41,1194,18,127,15
exp1_bm_078_3,2386,3461,6,4,4,1724,4,24,893,37,207,9
exp1_bm_079_1,1551,1679,2,18,0,1558,1,24,660,11,21,1
exp1_bm_079_2,909,1019,0,6,2,889,1,240,543,14,29,9
exp1_bm_079_3,926,2155,0,10,11,917,5,21,601,28,49,5
exp1_bm_079_4,1744,1651,3,64,4,3045,1,16,1302,30,36,5
exp1_bm_079_5,1811,2248,15,4,6,801,1,29,662,88,46,16
exp1_bm_080_1,1425,2324,3,10,6,1733,2,21,787,34,78,7
exp1_bm_080_2,2874,3623,4,41,6,2402,5,72,1085,30,102,11
exp1_bm_081_1,2957,2675,10,6,6,2489,10,32,1352,23,65,6
exp1_bm_081_2,2051,2102,4,10,7,676,11,15,813,40,119,13
exp1_bm_081_3,1443,1268,4,4,4,1257,3,8,620,70,45,10
exp1_bm_081_4,784,329,1,2,3,1900,3,20,573,14,13,2
exp1_bm_082_1,1544,1812,3,2,3,483,3,11,593,18,33,5
exp1_bm_082_2,1165,1351,13,5,1,142,0,4,516,8,123,18
exp1_bm_083_1,1470,2756,5,2,4,920,2,17,1033,22,60,9
exp1_bm_083_2,872,1034,1,7,3,764,1,2,553,8,28,12
exp1_bm_083_3,1837,2576,0,30,3,543,0,13,606,16,55,11
